airbnb_id,night_price_native,night_price,weekly_price,monthly_price,cleaning_fee_native_price,num_of_baths,num_of_rooms,occupancy,nights_booked,rental_income,airbnb_neighborhood_id,airbnb_city,capacity_of_people,zip,property_type,room_type,reviews_count,num_of_beds,lat,lon,star_rating
33457364.0,75,78,0,0,65,1.0,1,59,217,1411,268987.0,Orlando,4,3,Apartment,Entire home/apt,394,2,28.457,-81.4678,5
33464385.0,8,12,0,0,1,2.0,3,82,301,301,269170.0,Orlando,7,3,House,Entire home/apt,125,5,28.5974,-81.4734,5
33452461.0,59,59,0,0,4,1.0,1,5,181,89,268890.0,Orlando,4,3,Guest suite,Entire home/apt,261,2,28.5272,-81.3307,5
33454409.0,9,8,0,0,8,1.0,1,1,365,2433,268940.0,Orlando,4,3,Apartment,Entire home/apt,112,1,28.5036,-81.3014,5
33453425.0,69,78,0,0,8,1.0,1,57,207,1346,268914.0,Orlando,4,3,Condominium,Entire home/apt,208,3,28.4887,-81.4058,5
33452780.0,11,12,0,0,16,2.0,2,57,208,208,268866.0,Orlando,3,3,House,Entire home/apt,98,2,28.5127,-81.4267,5
33456938.0,73,76,0,0,98,2.0,2,64,234,1482,268988.0,Orlando,5,3,Apartment,Entire home/apt,142,3,28.48,-81.4197,5
33464164.0,14,132,0,0,75,1.0,1,52,191,2101,269124.0,Orlando,2,3,Apartment,Entire home/apt,103,1,28.601,-81.3498,5
33459472.0,248,2,0,0,2,2.0,3,41,126,252,269028.0,Orlando,6,3,House,Entire home/apt,19,3,28.5098,-81.4879,5
33452245.0,75,8,0,0,25,1.0,1,49,18,12,268878.0,Orlando,4,3,Guest suite,Entire home/apt,383,3,28.5663,-81.3596,5
33464641.0,175,193,0,0,8,1.0,1,22,82,1319,269108.0,Orlando,2,3,Apartment,Entire home/apt,169,1,28.5958,-81.3557,5
33454167.0,265,248,0,0,12,2.0,2,4,146,3017,268924.0,Orlando,4,3,Apartment,Entire home/apt,134,2,28.5384,-81.3863,5
33451748.0,76,7,0,0,5,2.0,2,1,364,2123,268866.0,Orlando,6,3,Condominium,Entire home/apt,1,4,28.4891,-81.4414,5
33452555.0,98,95,0,0,3,1.0,1,78,284,2248,268878.0,Orlando,3,3,Apartment,Entire home/apt,537,1,28.5445,-81.3702,5
33457513.0,219,221,0,0,15,2.5,3,71,26,4788,268890.0,Orlando,8,3,House,Entire home/apt,231,3,28.5014,-81.3597,5
33453377.0,18,125,0,0,5,2.0,2,72,261,2719,268878.0,Orlando,4,3,House,Entire home/apt,264,2,28.5442,-81.3679,5
33451817.0,69,75,0,0,85,1.0,1,3,111,694,268866.0,Orlando,4,3,Condominium,Entire home/apt,154,2,28.4884,-81.4154,5
33453461.0,9,9,0,0,8,2.0,2,57,157,157,268906.0,Orlando,5,3,Condominium,Entire home/apt,22,3,28.5047,-81.3005,5
33461244.0,499,479,0,0,15,4.0,4,81,297,11855,269086.0,Orlando,8,3,Guesthouse,Entire home/apt,24,4,28.5459,-81.4048,5
33469183.0,3,15,0,0,11,2.5,3,3,109,1363,274235.0,Orlando,6,3,Townhouse,Entire home/apt,16,3,28.3417,-81.3233,5
33457644.0,78,81,0,0,4,1.0,1,63,23,1553,268987.0,Orlando,4,3,Serviced apartment,Entire home/apt,239,2,28.4574,-81.4678,5
33453388.0,229,226,0,0,199,2.0,3,82,3,565,268881.0,Orlando,6,3,House,Entire home/apt,68,4,28.5871,-81.3521,5
33453319.0,85,85,0,0,8,2.0,2,16,59,418,268906.0,Orlando,4,3,Condominium,Entire home/apt,16,3,28.5126,-81.2991,5
33454896.0,89,126,0,0,125,2.0,3,92,336,3528,268890.0,Orlando,6,3,Bungalow,Entire home/apt,101,4,28.5162,-81.3526,5
